open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
105.53,107.49,104.96,105.41,21795410.0,107.49,104.96,105.41,105.53,21795405.0,1.0,0.0,GOOGL,XNAS,2023-05-03
107.14,107.2,103.71,105.32,30997250.0,107.2,103.71,105.32,107.14,30997245.0,1.0,0.0,GOOGL,XNAS,2023-05-02
106.84,107.99,106.82,107.2,26681680.0,107.99,106.82,107.2,106.84,26681680.0,1.0,0.0,GOOGL,XNAS,2023-05-01
107.04,107.35,105.09,107.34,36139847.0,107.35,105.09,107.34,107.04,36139847.0,1.0,0.0,GOOGL,XNAS,2023-04-28
104.45,108.37,103.54,107.59,50089187.0,108.37,103.54,107.59,104.45,50089187.0,1.0,0.0,GOOGL,XNAS,2023-04-27
104.92,106.35,102.63,103.71,53347560.0,106.35,102.63,103.71,104.92,53139175.0,1.0,0.0,GOOGL,XNAS,2023-04-26
105.825,106.69,103.84,103.85,46664104.0,106.69,103.84,103.85,105.825,46664104.0,1.0,0.0,GOOGL,XNAS,2023-04-25
105.49,106.63,104.7,105.97,23542829.0,106.63,104.7,105.97,105.49,23542829.0,1.0,0.0,GOOGL,XNAS,2023-04-24
105.47,106.0,104.78,105.41,25800082.0,106.0,104.78,105.41,105.47,25800082.0,1.0,0.0,GOOGL,XNAS,2023-04-21
103.91,106.25,103.8684,105.29,27820794.0,106.25,103.8684,105.29,103.91,27820794.0,1.0,0.0,GOOGL,XNAS,2023-04-20
103.58,104.98,103.07,104.18,20905684.0,104.98,103.07,104.18,103.58,20905684.0,1.0,0.0,GOOGL,XNAS,2023-04-19
106.49,106.54,104.07,104.5,26596445.0,106.54,104.07,104.5,106.49,26596445.0,1.0,0.0,GOOGL,XNAS,2023-04-18
104.658,106.16,104.52,105.97,37571218.0,106.16,104.52,105.97,104.658,37402371.0,1.0,0.0,GOOGL,XNAS,2023-04-17
106.89,108.94,106.84,108.87,26578002.0,108.94,106.84,108.87,106.89,26578002.0,1.0,0.0,GOOGL,XNAS,2023-04-14
105.84,107.49,105.84,107.43,24843579.0,107.49,105.84,107.43,105.84,24843579.0,1.0,0.0,GOOGL,XNAS,2023-04-13
106.58,106.75,104.34,104.64,24370274.0,106.75,104.34,104.64,106.58,24370274.0,1.0,0.0,GOOGL,XNAS,2023-04-12
106.55,106.73,104.68,105.35,26311803.0,106.73,104.68,105.35,106.55,26311803.0,1.0,0.0,GOOGL,XNAS,2023-04-11
106.98,107.59,105.12,106.44,27067355.0,107.59,105.12,106.44,106.98,27067355.0,1.0,0.0,GOOGL,XNAS,2023-04-10
105.26,109.17,104.33,108.42,48711480.0,109.17,104.33,108.42,105.26,48711480.0,1.0,0.0,GOOGL,XNAS,2023-04-06
105.78,106.1,103.66,104.47,28290503.0,106.1,103.66,104.47,105.78,28290503.0,1.0,0.0,GOOGL,XNAS,2023-04-05
104.33,105.58,104.04,104.72,24420079.0,105.58,104.04,104.72,104.33,24420079.0,1.0,0.0,GOOGL,XNAS,2023-04-04
102.39,104.53,101.93,104.36,25035399.0,104.53,101.93,104.36,102.39,25035399.0,1.0,0.0,GOOGL,XNAS,2023-04-03
101.3,103.89,101.04,103.73,36863369.0,103.89,101.04,103.73,101.3,36863369.0,1.0,0.0,GOOGL,XNAS,2023-03-31
100.91,101.155,99.78,100.89,33086183.0,101.155,99.78,100.89,100.91,33086183.0,1.0,0.0,GOOGL,XNAS,2023-03-30
102.28,102.49,100.65,101.39,28779572.0,102.49,100.65,101.39,102.28,28779572.0,1.0,0.0,GOOGL,XNAS,2023-03-29
102.44,102.45,99.74,101.03,32057865.0,102.45,99.74,101.03,102.44,32057865.0,1.0,0.0,GOOGL,XNAS,2023-03-28
104.615,104.76,101.9273,102.46,31120864.0,104.76,101.9273,102.46,104.615,31120864.0,1.0,0.0,GOOGL,XNAS,2023-03-27
104.99,105.49,103.84,105.44,30411043.0,105.49,103.84,105.44,104.99,30411043.0,1.0,0.0,GOOGL,XNAS,2023-03-24
105.06,106.3,104.46,105.6,40797769.0,106.3,104.46,105.6,105.06,40797769.0,1.0,0.0,GOOGL,XNAS,2023-03-23
104.27,106.59,103.33,103.37,43427419.0,106.59,103.33,103.37,104.27,43427419.0,1.0,0.0,GOOGL,XNAS,2023-03-22
101.25,105.1,101.22,104.92,42110279.0,105.1,101.22,104.92,101.25,42110279.0,1.0,0.0,GOOGL,XNAS,2023-03-21
100.12,101.75,99.87,101.22,32960440.0,101.75,99.87,101.22,100.12,32960440.0,1.0,0.0,GOOGL,XNAS,2023-03-20
100.26,102.835,100.1,101.62,61028547.0,102.835,100.1,101.62,100.26,61028547.0,1.0,0.0,GOOGL,XNAS,2023-03-17
96.2,101.19,95.5,100.32,65567656.0,101.19,95.5,100.32,96.2,65567656.0,1.0,0.0,GOOGL,XNAS,2023-03-16
93.22,96.93,92.64,96.11,50622050.0,96.93,92.64,96.11,93.22,50622050.0,1.0,0.0,GOOGL,XNAS,2023-03-15
92.56,94.36,92.44,93.97,36050214.0,94.36,92.44,93.97,92.56,36050214.0,1.0,0.0,GOOGL,XNAS,2023-03-14
90.09,92.57,89.42,91.11,37335573.0,92.57,89.42,91.11,90.09,37335573.0,1.0,0.0,GOOGL,XNAS,2023-03-13
92.17,92.79,90.395,90.63,35941046.0,92.79,90.395,90.63,92.17,35941046.0,1.0,0.0,GOOGL,XNAS,2023-03-10
94.05,95.53,91.9,92.32,28813532.0,95.53,91.9,92.32,94.05,28813532.0,1.0,0.0,GOOGL,XNAS,2023-03-09
94.12,95.955,94.0,94.25,34103265.0,95.955,94.0,94.25,94.12,34103265.0,1.0,0.0,GOOGL,XNAS,2023-03-08
94.98,95.67,93.53,93.86,27835476.0,95.67,93.53,93.86,94.98,27835476.0,1.0,0.0,GOOGL,XNAS,2023-03-07
94.015,95.97,94.0,95.13,32639313.0,95.97,94.0,95.13,94.015,32639313.0,1.0,0.0,GOOGL,XNAS,2023-03-06
92.48,93.73,92.45,93.65,35160105.0,93.73,92.45,93.65,92.48,35160105.0,1.0,0.0,GOOGL,XNAS,2023-03-03
89.66,92.275,89.59,92.0,32226229.0,92.275,89.59,92.0,89.66,32226229.0,1.0,0.0,GOOGL,XNAS,2023-03-02
89.98,91.03,89.67,90.36,31111225.0,91.03,89.67,90.36,89.98,31111225.0,1.0,0.0,GOOGL,XNAS,2023-03-01
89.33,91.23,89.32,90.06,30142039.0,91.23,89.32,90.06,89.33,30142039.0,1.0,0.0,GOOGL,XNAS,2023-02-28
89.87,90.16,89.335,89.87,27502302.0,90.16,89.335,89.87,89.87,27502302.0,1.0,0.0,GOOGL,XNAS,2023-02-27
89.44,89.89,88.575,89.13,36585093.0,89.89,88.575,89.13,89.44,36585093.0,1.0,0.0,GOOGL,XNAS,2023-02-24
91.92,91.94,89.76,90.89,41206380.0,91.94,89.76,90.89,91.92,41206380.0,1.0,0.0,GOOGL,XNAS,2023-02-23
91.7,92.11,90.61,91.65,30884017.0,92.11,90.61,91.65,91.7,30884017.0,1.0,0.0,GOOGL,XNAS,2023-02-22
93.0,93.1,91.72,91.79,33629256.0,93.1,91.72,91.79,93.0,33629256.0,1.0,0.0,GOOGL,XNAS,2023-02-21
94.85,95.5599,93.21,94.35,34284118.0,95.5599,93.21,94.35,94.85,34284118.0,1.0,0.0,GOOGL,XNAS,2023-02-17
95.37,97.68,94.74,95.51,42462618.0,97.68,94.74,95.51,95.37,42462618.0,1.0,0.0,GOOGL,XNAS,2023-02-16
94.49,97.12,94.15,96.94,50298481.0,97.12,94.15,96.94,94.49,50298481.0,1.0,0.0,GOOGL,XNAS,2023-02-15
94.43,94.845,92.26,94.68,54726120.0,94.845,92.26,94.68,94.43,54726120.0,1.0,0.0,GOOGL,XNAS,2023-02-14
94.74,95.2,93.84,94.61,50076120.0,95.2,93.84,94.61,94.74,50076120.0,1.0,0.0,GOOGL,XNAS,2023-02-13
95.45,96.75,94.25,94.57,54980696.0,96.75,94.25,94.57,95.45,54980696.0,1.0,0.0,GOOGL,XNAS,2023-02-10
100.0,100.03,93.63,95.01,119455020.0,100.03,93.63,95.01,100.0,119455020.0,1.0,0.0,GOOGL,XNAS,2023-02-09
102.05,103.14,98.035,99.37,94743515.0,103.14,98.035,99.37,102.05,94743515.0,1.0,0.0,GOOGL,XNAS,2023-02-08
103.22,108.18,103.12,107.64,49010230.0,108.18,103.12,107.64,103.22,49010230.0,1.0,0.0,GOOGL,XNAS,2023-02-07
102.4,104.36,101.88,102.9,31999562.0,104.36,101.88,102.9,102.4,31999562.0,1.0,0.0,GOOGL,XNAS,2023-02-06
102.93,107.81,102.58,104.78,65309261.0,107.81,102.58,104.78,102.93,65309261.0,1.0,0.0,GOOGL,XNAS,2023-02-03
105.8,107.85,105.61,107.74,69883762.0,107.85,105.61,107.74,105.8,69883762.0,1.0,0.0,GOOGL,XNAS,2023-02-02
98.71,101.19,97.58,100.43,35531104.0,101.19,97.58,100.43,98.71,35531104.0,1.0,0.0,GOOGL,XNAS,2023-02-01
96.87,98.88,96.82,98.84,29870669.0,98.88,96.82,98.84,96.87,29870669.0,1.0,0.0,GOOGL,XNAS,2023-01-31
97.48,98.29,96.395,96.94,27226198.0,98.29,96.395,96.94,97.48,27226198.0,1.0,0.0,GOOGL,XNAS,2023-01-30
97.31,100.32,97.31,99.37,33879753.0,100.32,97.31,99.37,97.31,33879753.0,1.0,0.0,GOOGL,XNAS,2023-01-27
96.5,97.57,95.38,97.52,30113974.0,97.57,95.38,97.52,96.5,30113974.0,1.0,0.0,GOOGL,XNAS,2023-01-26
95.57,96.162,93.76,95.22,42329952.0,96.162,93.76,95.22,95.57,42329952.0,1.0,0.0,GOOGL,XNAS,2023-01-25
98.1,99.61,97.2,97.7,33078512.0,99.61,97.2,97.7,98.1,33078512.0,1.0,0.0,GOOGL,XNAS,2023-01-24
97.95,100.04,97.5,99.79,40005055.0,100.04,97.5,99.79,97.95,40005055.0,1.0,0.0,GOOGL,XNAS,2023-01-23
95.1,98.3,95.02,98.02,63191078.0,98.3,95.02,98.02,95.1,63191078.0,1.0,0.0,GOOGL,XNAS,2023-01-20
90.72,93.605,90.63,93.05,37000395.0,93.605,90.63,93.05,90.72,37000395.0,1.0,0.0,GOOGL,XNAS,2023-01-19
92.14,92.7999,90.64,91.12,29116691.0,92.7999,90.64,91.12,92.14,29116691.0,1.0,0.0,GOOGL,XNAS,2023-01-18
92.06,92.25,90.05,91.29,32602423.0,92.25,90.05,91.29,92.06,32602423.0,1.0,0.0,GOOGL,XNAS,2023-01-17
90.85,92.19,90.1299,92.12,26329212.0,92.19,90.1299,92.12,90.85,26329212.0,1.0,0.0,GOOGL,XNAS,2023-01-13
91.48,91.87,89.75,91.13,30258135.0,91.87,89.75,91.13,91.48,30258135.0,1.0,0.0,GOOGL,XNAS,2023-01-12
89.18,91.6,89.01,91.52,26861969.0,91.6,89.01,91.52,89.18,26861969.0,1.0,0.0,GOOGL,XNAS,2023-01-11
85.98,88.67,85.83,88.42,30467755.0,88.67,85.83,88.42,85.98,30467755.0,1.0,0.0,GOOGL,XNAS,2023-01-10
88.36,90.05,87.86,88.02,29003901.0,90.05,87.86,88.02,88.36,29003901.0,1.0,0.0,GOOGL,XNAS,2023-01-09
86.79,87.69,84.86,87.34,41381495.0,87.69,84.86,87.34,86.79,41381495.0,1.0,0.0,GOOGL,XNAS,2023-01-06
87.47,87.57,85.9,86.2,27194375.0,87.57,85.9,86.2,87.47,27194375.0,1.0,0.0,GOOGL,XNAS,2023-01-05
90.35,90.65,87.271,88.08,34854776.0,90.65,87.271,88.08,90.35,34854776.0,1.0,0.0,GOOGL,XNAS,2023-01-04
89.585,91.05,88.52,89.12,28119228.0,91.05,88.52,89.12,89.585,28131224.0,1.0,0.0,GOOGL,XNAS,2023-01-03
86.98,88.3,86.57,88.23,23986297.0,88.3,86.57,88.23,86.98,23986297.0,1.0,0.0,GOOGL,XNAS,2022-12-30
86.62,88.845,86.61,88.45,23333537.0,88.845,86.61,88.45,86.62,23333537.0,1.0,0.0,GOOGL,XNAS,2022-12-29
86.98,88.04,85.94,86.02,19523176.0,88.04,85.94,86.02,86.98,19523176.0,1.0,0.0,GOOGL,XNAS,2022-12-28
88.795,88.94,87.01,87.39,20089978.0,88.94,87.01,87.39,88.795,20097346.0,1.0,0.0,GOOGL,XNAS,2022-12-27
87.11,89.545,87.07,89.23,23003035.0,89.545,87.07,89.23,87.11,23003035.0,1.0,0.0,GOOGL,XNAS,2022-12-23
88.16,88.54,86.32,87.76,27658293.0,88.54,86.32,87.76,88.16,27658293.0,1.0,0.0,GOOGL,XNAS,2022-12-22
89.08,90.22,88.32,89.58,24738534.0,90.22,88.32,89.58,89.08,24745637.0,1.0,0.0,GOOGL,XNAS,2022-12-21
88.11,89.175,87.4401,89.02,23453836.0,89.175,87.4401,89.02,88.11,23453836.0,1.0,0.0,GOOGL,XNAS,2022-12-20
90.255,90.56,88.21,88.44,29493030.0,90.56,88.21,88.44,90.255,29493030.0,1.0,0.0,GOOGL,XNAS,2022-12-19
